dataset,model,scenario,horizon_or_block,forecast_length,forecast_output_file,mae,rmse,smape,mase,r2
IceCreamHeater,Auto-ARIMA,S2,1,40,results/part0-traditional-baselines/forecast-outputs/icecreamheater__S2__auto-arima.csv,5.62864593483677,6.5608920818743,10.814419347241724,1.3111237563343812,0.8553922286765279
IceCreamHeater,Naive (Flat),S3,12,40,results/part0-traditional-baselines/forecast-outputs/icecreamheater__S3__naive-flat.csv,9.675,12.131570384744096,16.335334378472538,2.2536721068249257,0.5055756071648285
IceCreamHeater,Naive (Seasonal),S3,12,40,results/part0-traditional-baselines/forecast-outputs/icecreamheater__S3__naive-seasonal.csv,5.475,7.98905501295366,9.9868157724924,1.275333827893175,0.7855842577020227
IceCreamHeater,Auto-ARIMA,S3,12,40,results/part0-traditional-baselines/forecast-outputs/icecreamheater__S3__auto-arima.csv,5.62864593483677,6.5608920818743,10.814419347241724,1.3111237563343812,0.8553922286765279
IceCreamHeater,Naive (Flat),S4,12,40,results/part0-traditional-baselines/forecast-outputs/icecreamheater__S4__naive-flat.csv,15.625,21.81341330466188,28.4812867143854,3.639651335311573,-0.598501693363652
IceCreamHeater,Naive (Seasonal),S4,12,40,results/part0-traditional-baselines/forecast-outputs/icecreamheater__S4__naive-seasonal.csv,5.475,7.98905501295366,9.9868157724924,1.275333827893175,0.7855842577020227
IceCreamHeater,Auto-ARIMA,S4,12,40,results/part0-traditional-baselines/forecast-outputs/icecreamheater__S4__auto-arima.csv,6.256770060043544,7.817786513100057,11.571037750001045,1.4574375362415968,0.7946789589476273
Temperature,Naive (Flat),S1,1,730,results/part0-traditional-baselines/forecast-outputs/temperature__S1__naive-flat.csv,3.982191780821917,4.876516272802143,35.03735616191878,1.8281356643525373,-0.4120414919709421
Temperature,Naive (Seasonal),S1,1,730,results/part0-traditional-baselines/forecast-outputs/temperature__S1__naive-seasonal.csv,2.954246575342466,3.716483092298748,27.787874877830664,1.3562288867363892,0.179851631015888
Temperature,Auto-ARIMA,S1,1,730,results/part0-traditional-baselines/forecast-outputs/temperature__S1__auto-arima.csv,3.3118822669750934,4.023051673658998,30.57586394732023,1.520411477305658,0.0389647345253003
Temperature,Naive (Flat),S2,1,730,results/part0-traditional-baselines/forecast-outputs/temperature__S2__naive-flat.csv,1.952739726027397,2.4809051596058453,19.986485340440968,0.8964593703249201,0.6345327818839104
Temperature,Naive (Seasonal),S2,1,730,results/part0-traditional-baselines/forecast-outputs/temperature__S2__naive-seasonal.csv,2.9654794520547947,3.727884559327345,29.02650974591084,1.361385650564284,0.1748117921452554
Temperature,Auto-ARIMA,S2,1,730,results/part0-traditional-baselines/forecast-outputs/temperature__S2__auto-arima.csv,1.7332891814901845,2.206788322702054,17.369966591434462,0.7957145069152377,0.7108325153691734
Temperature,Naive (Flat),S3,7,730,results/part0-traditional-baselines/forecast-outputs/temperature__S3__naive-flat.csv,1.952739726027397,2.4809051596058453,19.986485340440968,0.8964593703249201,0.6345327818839104
Temperature,Naive (Seasonal),S3,7,730,results/part0-traditional-baselines/forecast-outputs/temperature__S3__naive-seasonal.csv,2.9654794520547947,3.727884559327345,29.02650974591084,1.361385650564284,0.1748117921452554
Temperature,Auto-ARIMA,S3,7,730,results/part0-traditional-baselines/forecast-outputs/temperature__S3__auto-arima.csv,1.7332891814901845,2.206788322702054,17.369966591434462,0.7957145069152377,0.7108325153691734
Temperature,Naive (Flat),S4,30,730,results/part0-traditional-baselines/forecast-outputs/temperature__S4__naive-flat.csv,3.040821917808219,3.8266692122881447,29.933264958056228,1.3959737006294335,0.1304992772978831
Temperature,Naive (Seasonal),S4,30,730,results/part0-traditional-baselines/forecast-outputs/temperature__S4__naive-seasonal.csv,2.9654794520547947,3.727884559327345,29.02650974591084,1.361385650564284,0.1748117921452554
Temperature,Auto-ARIMA,S4,30,730,results/part0-traditional-baselines/forecast-outputs/temperature__S4__auto-arima.csv,2.2459752718261883,2.91680571507665,21.587156087005503,1.031077286496704,0.4948235376349323
