dataset,scenario,total_runs,category,category_total_runs,category_pct,model,hyperparameters,combo_count,combo_pct,status
ILINet,S2,30,Statistical,30,100.0,SARIMA,"{""order"": [2, 0, 2], ""seasonal_order"": [1, 1, 1, 52], ""trend"": ""n""}",5,16.67,OK
ILINet,S2,30,Multivariate Statistical,0,0.0,N/A,N/A,0,0.0,Not recommended in any run
ILINet,S2,30,Machine Learning,0,0.0,N/A,N/A,0,0.0,Not recommended in any run
ILINet,S2,30,Deep Learning,0,0.0,N/A,N/A,0,0.0,Not recommended in any run
ILINet,S3,30,Statistical,30,100.0,SARIMA,"{""order"": [1, 1, 1], ""seasonal_order"": [1, 1, 1, 52], ""trend"": ""c""}",8,26.67,OK
ILINet,S3,30,Multivariate Statistical,0,0.0,N/A,N/A,0,0.0,Not recommended in any run
ILINet,S3,30,Machine Learning,0,0.0,N/A,N/A,0,0.0,Not recommended in any run
ILINet,S3,30,Deep Learning,0,0.0,N/A,N/A,0,0.0,Not recommended in any run
ILINet,S4,30,Statistical,30,100.0,SARIMA,"{""order"": [2, 0, 2], ""seasonal_order"": [1, 1, 1, 52], ""trend"": ""n""}",5,16.67,OK
ILINet,S4,30,Multivariate Statistical,0,0.0,N/A,N/A,0,0.0,Not recommended in any run
ILINet,S4,30,Machine Learning,0,0.0,N/A,N/A,0,0.0,Not recommended in any run
ILINet,S4,30,Deep Learning,0,0.0,N/A,N/A,0,0.0,Not recommended in any run
IceCreamHeater,S1,30,Statistical,29,96.67,SARIMA,"{""order"": [1, 1, 1], ""seasonal_order"": [1, 1, 1, 12], ""trend"": ""c""}",13,43.33,OK
IceCreamHeater,S1,30,Multivariate Statistical,1,3.33,SARIMAX,"{""order"": [1, 1, 1], ""seasonal_order"": [1, 1, 1, 12], ""trend"": ""c""}",1,3.33,OK
IceCreamHeater,S1,30,Machine Learning,0,0.0,N/A,N/A,0,0.0,Not recommended in any run
IceCreamHeater,S1,30,Deep Learning,0,0.0,N/A,N/A,0,0.0,Not recommended in any run
IceCreamHeater,S2,30,Statistical,29,96.67,SARIMA,"{""order"": [1, 1, 1], ""seasonal_order"": [1, 1, 1, 12], ""trend"": ""c""}",10,33.33,OK
IceCreamHeater,S2,30,Multivariate Statistical,1,3.33,SARIMAX,"{""order"": [1, 1, 1], ""seasonal_order"": [1, 1, 1, 12], ""trend"": ""n""}",1,3.33,OK
IceCreamHeater,S2,30,Machine Learning,0,0.0,N/A,N/A,0,0.0,Not recommended in any run
IceCreamHeater,S2,30,Deep Learning,0,0.0,N/A,N/A,0,0.0,Not recommended in any run
IceCreamHeater,S3,30,Statistical,29,96.67,SARIMA,"{""order"": [1, 1, 1], ""seasonal_order"": [1, 1, 1, 12], ""trend"": ""c""}",12,40.0,OK
IceCreamHeater,S3,30,Multivariate Statistical,1,3.33,SARIMAX,"{""order"": [1, 1, 1], ""seasonal_order"": [1, 1, 1, 12], ""trend"": ""c""}",1,3.33,OK
IceCreamHeater,S3,30,Machine Learning,0,0.0,N/A,N/A,0,0.0,Not recommended in any run
IceCreamHeater,S3,30,Deep Learning,0,0.0,N/A,N/A,0,0.0,Not recommended in any run
IceCreamHeater,S4,30,Statistical,30,100.0,SARIMA,"{""order"": [1, 1, 1], ""seasonal_order"": [1, 1, 1, 12], ""trend"": ""c""}",13,43.33,OK
IceCreamHeater,S4,30,Multivariate Statistical,0,0.0,N/A,N/A,0,0.0,Not recommended in any run
IceCreamHeater,S4,30,Machine Learning,0,0.0,N/A,N/A,0,0.0,Not recommended in any run
IceCreamHeater,S4,30,Deep Learning,0,0.0,N/A,N/A,0,0.0,Not recommended in any run
Temperature,S1,30,Statistical,30,100.0,SARIMA,"{""order"": [1, 0, 1], ""seasonal_order"": [1, 1, 1, 365], ""trend"": ""n""}",6,20.0,OK
Temperature,S1,30,Multivariate Statistical,0,0.0,N/A,N/A,0,0.0,Not recommended in any run
Temperature,S1,30,Machine Learning,0,0.0,N/A,N/A,0,0.0,Not recommended in any run
Temperature,S1,30,Deep Learning,0,0.0,N/A,N/A,0,0.0,Not recommended in any run
Temperature,S2,30,Statistical,30,100.0,SARIMA,"{""order"": [1, 0, 1], ""seasonal_order"": [1, 1, 1, 365], ""trend"": ""n""}",8,26.67,OK
Temperature,S2,30,Multivariate Statistical,0,0.0,N/A,N/A,0,0.0,Not recommended in any run
Temperature,S2,30,Machine Learning,0,0.0,N/A,N/A,0,0.0,Not recommended in any run
Temperature,S2,30,Deep Learning,0,0.0,N/A,N/A,0,0.0,Not recommended in any run
Temperature,S3,30,Statistical,30,100.0,SARIMA,"{""order"": [2, 0, 2], ""seasonal_order"": [1, 1, 1, 365], ""trend"": ""n""}",5,16.67,OK
Temperature,S3,30,Multivariate Statistical,0,0.0,N/A,N/A,0,0.0,Not recommended in any run
Temperature,S3,30,Machine Learning,0,0.0,N/A,N/A,0,0.0,Not recommended in any run
Temperature,S3,30,Deep Learning,0,0.0,N/A,N/A,0,0.0,Not recommended in any run
Temperature,S4,30,Statistical,30,100.0,SARIMA,"{""order"": [2, 0, 2], ""seasonal_order"": [1, 1, 1, 365], ""trend"": ""n""}",5,16.67,OK
Temperature,S4,30,Multivariate Statistical,0,0.0,N/A,N/A,0,0.0,Not recommended in any run
Temperature,S4,30,Machine Learning,0,0.0,N/A,N/A,0,0.0,Not recommended in any run
Temperature,S4,30,Deep Learning,0,0.0,N/A,N/A,0,0.0,Not recommended in any run
