DATE,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS,actual,forecast
2018-12-23,3.13478,3.24012,11515,8127.0,,12816,3322.0,2480,38260,2596,1180820,3.13478,3.705314578628392
2018-12-30,3.96538,4.18077,13615,10348.0,,12044,4471.0,3534,44012,2581,1052725,3.96538,3.339340597846109
2019-01-13,3.45972,3.63095,11686,11413.0,,9572,5204.0,4260,42135,2630,1160440,3.45972,3.091929127515212
2019-01-20,3.07558,3.13643,9369,10416.0,,10758,4826.0,3446,38815,2656,1237552,3.07558,3.3176553903659904
2019-01-27,3.3258,3.36213,9703,10045.0,,14265,4235.0,2951,41199,2658,1225384,3.3258,3.4286751617672078
2019-02-03,3.79773,3.88115,10765,11194.0,,16965,4457.0,2860,46241,2677,1191426,3.79773,3.636805486383096
2019-02-10,4.34227,4.52235,11628,13048.0,,22217,5116.0,3255,55264,2668,1222020,4.34227,3.863153417824166
2019-02-17,4.86953,5.20091,13899,15785.0,,29772,6174.0,4102,69732,2673,1340765,4.86953,3.7824645014162015
2019-02-24,5.03689,5.42034,14246,15945.0,,29255,6333.0,4277,70056,2655,1292464,5.03689,3.5640308870045394
2019-03-03,4.8812,5.27078,13634,15716.0,,26502,6124.0,4485,66461,2655,1260932,4.8812,3.1676901793183694
2019-03-10,4.54791,4.58991,11647,13847.0,,23468,5706.0,4134,58802,2658,1281115,4.54791,3.183093238998298
2019-03-17,4.3762,4.39714,11168,13079.0,,21760,5368.0,4056,55431,2637,1260615,4.3762,2.8618930765594404
2019-03-24,4.22692,4.12777,10986,12580.0,,20081,5353.0,4177,53177,2646,1288273,4.22692,2.6954054338232467
2019-03-31,3.68251,3.50278,9721,10717.0,,16800,4532.0,3898,45668,2653,1303765,3.68251,2.4515784117244546
2019-04-07,3.08559,3.04819,8644,8656.0,,13642,3811.0,3195,37948,2619,1244935,3.08559,2.130966208550955
2019-04-14,2.69831,2.67984,7606,7491.0,,11768,3274.0,2802,32941,2620,1229217,2.69831,1.9079755158981284
2019-04-21,2.28676,2.26612,6754,6208.0,,10005,2568.0,2319,27854,2568,1229148,2.28676,1.7586932153540882
2019-04-28,2.01217,1.96484,6325,4934.0,,7904,2108.0,1876,23147,2542,1178058,2.01217,1.6379697090782317
2019-05-05,1.71323,1.72201,5698,4553.0,,6621,2000.0,1738,20610,2516,1196855,1.71323,1.514906685028325
2019-05-12,1.56678,1.5728,5369,4084.0,,6207,1667.0,1537,18864,2485,1199386,1.56678,1.4118928684545022
2019-05-19,1.49827,1.45718,4789,3574.0,,5906,1480.0,1358,17107,2444,1173980,1.49827,1.374215940611049
2019-05-26,1.49961,1.50332,4649,3482.0,,5530,1437.0,1361,16459,2336,1094840,1.49961,1.2945216927903278
2019-06-02,1.42123,1.40257,4601,3214.0,,5234,1347.0,1367,15763,2224,1123869,1.42123,1.234716358619284
2019-06-09,1.39258,1.40358,4442,3094.0,,4660,1279.0,1301,14776,2196,1052737,1.39258,1.1575790536107362
2019-06-16,1.21697,1.23749,3937,2952.0,,4115,1242.0,1205,13451,2258,1086961,1.21697,1.0658930393077288
2019-06-23,1.11266,1.12161,3506,2729.0,,3741,1051.0,1079,12106,2206,1079343,1.11266,1.0267392181541457
2019-06-30,0.991888,1.01276,3056,2425.0,,3288,998.0,928,10695,2159,1056024,0.991888,1.005051374724322
2019-07-07,0.946401,0.959768,2955,2183.0,,3117,910.0,862,10027,2084,1044732,0.946401,0.9467304270435586
2019-07-14,0.874695,0.878917,2512,1911.0,,2726,797.0,776,8722,2154,992358,0.874695,0.8898645553268871
2019-07-21,0.809169,0.794181,2346,1882.0,,2661,799.0,737,8425,2111,1060841,0.809169,0.8638297767841181
2019-07-28,0.75452,0.766394,2222,1862.0,,2571,757.0,704,8116,2154,1058986,0.75452,0.8609622662548291
2019-08-04,0.732983,0.748613,2138,1805.0,,2466,763.0,615,7787,2140,1040191,0.732983,0.8490868651142456
2019-08-11,0.725811,0.757116,2354,1830.0,,2438,658.0,604,7884,2151,1041320,0.725811,0.8440681386018224
2019-08-18,0.754209,0.770094,2102,2042.0,,2392,766.0,758,8060,2167,1046625,0.754209,0.8796835674317925
2019-08-25,0.729672,0.833506,2634,2047.0,,2831,788.0,694,8994,2200,1079056,0.729672,0.9939718785532982
2019-09-01,0.839875,0.94034,2911,2211.0,,3503,762.0,716,10103,2170,1074399,0.839875,1.109656095038796
2019-09-08,0.989358,1.08197,3428,2559.0,,4244,896.0,777,11904,2193,1100212,0.989358,1.168986963676097
2019-09-15,1.1354,1.20216,3810,2927.0,,4548,1033.0,870,13188,2217,1097022,1.1354,1.2227420545422991
2019-09-22,1.23124,1.27291,3912,3297.0,,5502,1173.0,959,14843,2247,1166071,1.23124,1.2563621528127062
2019-09-29,1.24448,1.3881,4469,3577.0,,5678,1251.0,1026,16001,2224,1152730,1.24448,1.3270006690643277
2019-10-06,1.3379,1.49515,4981,3882.0,,6121,1368.0,1101,17453,2211,1167311,1.3379,1.388251682088253
2019-10-13,1.49002,1.50284,6219,4827.0,,7658,1764.0,1448,21916,2912,1458307,1.49002,1.4694263694449667
2019-10-20,1.59192,1.59764,6550,5148.0,,7638,2015.0,1603,22954,2942,1436748,1.59192,1.5179152139474972
2019-10-27,1.72572,1.73931,7287,5548.0,,8292,2110.0,1649,24886,2966,1430800,1.72572,1.5811322737819689
2019-11-03,1.83419,1.86039,7892,6080.0,,9349,2305.0,1793,27419,2997,1473831,1.83419,1.6414421265164862
2019-11-10,2.04008,2.01412,8658,6143.0,,10068,2279.0,1762,28910,3005,1435369,2.04008,1.727805792710689
2019-11-17,2.39351,2.36364,10557,7182.0,,12551,2453.0,1843,34586,3022,1463253,2.39351,1.825379060585672
2019-11-24,2.63251,2.64428,11446,7905.0,,13671,2741.0,1969,37732,2991,1426928,2.63251,2.054421777770712
2019-12-01,2.89941,2.97387,12716,9138.0,,17058,3101.0,2148,44161,2987,1484969,2.89941,2.113528491157322
2019-12-08,3.41501,3.45389,14444,9209.0,,14821,3199.0,2371,44044,2993,1275199,3.41501,2.2321109080764168
2019-12-15,3.2579,3.31281,13852,11947.0,,16397,3929.0,2779,48904,2995,1476208,3.2579,2.617167998096325
2019-12-22,3.94308,3.86928,14728,12822.0,,21877,4114.0,2903,56444,2958,1458774,3.94308,3.304889718787225
2019-12-29,5.06435,5.02613,18001,16227.0,,29182,4835.0,3349,71594,2926,1424436,5.06435,3.7895333580853103
2020-01-05,7.06161,7.15315,24097,24617.0,,34004,7638.0,5401,95757,2917,1338669,7.06161,3.420061411876901
2020-01-12,5.90066,6.21936,21594,27655.0,,23392,9209.0,6881,88731,2970,1426691,5.90066,3.163898703580652
2020-01-19,4.9402,5.06711,15564,23634.0,,22756,8196.0,5464,75614,3002,1492251,4.9402,3.3811470946613107
2020-01-26,5.33135,5.35768,16587,21413.0,,29668,7386.0,4729,79783,2995,1489132,5.33135,3.4853932268189376
2020-02-02,6.07822,6.02274,18574,23658.0,,35275,7973.0,4670,90150,2997,1496826,6.07822,3.6738826886648375
2020-02-09,6.74724,6.87271,20299,28889.0,,44117,9527.0,5475,108307,2995,1575900,6.74724,3.8870303639455113
2020-02-16,6.80157,7.08558,20270,29823.0,,45513,10049.0,5706,111361,3005,1571657,6.80157,3.811643656514836
2020-02-23,6.11292,6.22068,17393,26428.0,,36909,9231.0,5457,95418,2969,1533883,6.11292,3.5960851215525405
2020-03-01,5.52513,5.61968,15330,23189.0,,28531,8320.0,5189,80559,2984,1433517,5.52513,3.2254920607145467
2020-03-08,5.12333,5.10268,13820,22127.0,,25490,8276.0,5110,74823,2947,1466346,5.12333,3.2439924640781364
2020-03-15,5.26652,5.28928,13888,23906.0,,26396,8891.0,5698,78779,2913,1489410,5.26652,2.9218266285624543
2020-03-22,5.66932,6.28745,14154,29667.0,,27756,11334.0,6696,89607,2847,1425172,5.66932,2.753556860431657
2020-03-29,6.38029,7.35285,10790,30818.0,,17512,12478.0,6986,78584,2810,1068755,6.38029,2.512767113349393
2020-04-05,4.91692,6.22687,5129,22408.0,,8322,10825.0,6458,53142,2738,853431,4.91692,2.195922084864917
2020-04-12,3.78625,4.82995,2359,14964.0,,4852,8696.0,5380,36251,2696,750546,3.78625,1.9810695479485947
2020-04-19,2.80122,3.47366,1496,9995.0,,3426,6043.0,4014,24974,2698,718953,2.80122,1.8356404566310696
2020-04-26,2.12907,2.57391,1068,7427.0,,2667,4184.0,2928,18274,2679,709970,2.12907,1.7173119198565818
2020-05-03,1.73315,2.02032,926,6339.0,,2317,3289.0,2293,15164,2663,750576,1.73315,1.595690155862325
2020-05-10,1.40939,1.6211,864,5292.0,,2098,2670.0,1897,12821,2635,790883,1.40939,1.4944300656206002
2020-05-17,1.18297,1.35141,730,4585.0,,1889,2241.0,1623,11068,2625,818998,1.18297,1.455218604878106
2020-05-24,1.11444,1.23805,788,4112.0,,1960,2171.0,1449,10480,2613,846493,1.11444,1.3773677569974876
2020-05-31,1.00534,1.07598,1224,4375.0,,2402,2148.0,1586,11735,2982,1090638,1.00534,1.3177815984612795
2020-06-07,0.88827,0.885843,805,3572.0,,1898,1878.0,1461,9614,2961,1085294,0.88827,1.2405488614494502
2020-06-14,0.814062,0.819928,802,3440.0,,1969,1705.0,1409,9325,2943,1137295,0.814062,1.1510884380998438
2020-06-21,0.836751,0.814575,881,3454.0,,2141,1726.0,1378,9580,2915,1176074,0.836751,1.1107830410127877
2020-06-28,0.928418,0.950758,1006,4710.0,,2679,2001.0,1472,11868,2949,1248267,0.928418,1.090306433643808
2020-07-05,1.14217,1.20306,1216,6241.0,,3491,2649.0,1902,15499,2907,1288294,1.14217,1.0316022858049692
2020-07-12,1.27401,1.38424,1395,7032.0,,3970,3223.0,2223,17843,2908,1289006,1.27401,0.9754658332208146
2020-07-19,1.34924,1.47268,1545,8013.0,,4095,3765.0,2632,20050,2931,1361462,1.34924,0.9495800015891008
2020-07-26,1.34434,1.43715,1658,7526.0,,4075,3566.0,2436,19261,2905,1340226,1.34434,0.9468476096312464
2020-08-02,1.22153,1.21898,1634,6105.0,,3560,3089.0,2145,16533,2964,1356301,1.22153,0.9349212934677782
2020-08-09,1.15258,1.15067,1609,5709.0,,3497,2595.0,2114,15524,3005,1349125,1.15258,0.9317697298165551
2020-08-16,1.0625,1.05647,1570,4977.0,,3272,2361.0,1938,14118,2967,1336334,1.0625,0.9673953971325738
2020-08-23,0.979884,0.981699,1592,4502.0,,3167,2174.0,1758,13193,2989,1343895,0.979884,1.0793905037686808
2020-08-30,0.968853,0.961487,1804,4305.0,,3283,1894.0,1666,12952,2942,1347080,0.968853,1.1956497200346945
2020-09-06,1.00014,0.970484,1866,4032.0,,3951,1821.0,1489,13159,2979,1355922,1.00014,1.2547280216419392
2020-09-13,0.921454,0.920215,1776,3776.0,,3616,1698.0,1481,12347,2935,1341752,0.921454,1.3110115471293275
2020-09-20,1.03555,0.978061,2000,3975.0,,3822,1793.0,1446,13036,2928,1332841,1.03555,1.346213047704029
2020-09-27,0.974333,0.955677,2070,4070.0,,3628,1794.0,1487,13049,2954,1365420,0.974333,1.416361077965926
2020-10-04,1.06408,1.03818,2287,4413.0,,4366,1944.0,1579,14589,2954,1405243,1.06408,1.477308799552986
2020-10-11,1.0872,1.07453,2467,5122.0,,4748,2376.0,1857,16570,3332,1542071,1.0872,1.5583346852896236
2020-10-18,1.20898,1.18497,2562,6035.0,,5258,3012.0,2327,19194,3373,1619788,1.20898,1.6070370985079103
2020-10-25,1.10874,1.09042,2316,5674.0,,4631,2554.0,2106,17281,3351,1584807,1.10874,1.6708151055906388
2020-11-01,1.18588,1.14934,2457,5864.0,,4852,2834.0,2180,18187,3377,1582393,1.18588,1.7319209820398518
2020-11-08,1.25,1.1881,2515,6101.0,,4924,2770.0,2302,18612,3471,1566538,1.25,1.8185635807840632
2020-11-15,1.43782,1.33548,2727,7094.0,,5837,3291.0,2461,21410,3470,1603163,1.43782,1.916441669302176
2020-11-22,1.48426,1.37797,2776,7686.0,,5549,3736.0,2876,22623,3436,1641763,1.48426,2.146112851082272
2020-11-29,1.54717,1.4268,2693,7829.0,,5342,3960.0,2898,22722,3376,1592518,1.54717,2.204495995194092
2020-12-06,1.60668,1.49601,2485,7094.0,,4585,3962.0,3194,21320,3378,1425127,1.60668,2.323301333607457
2020-12-13,1.56586,1.44878,2604,7698.0,,4875,3988.0,3140,22305,3382,1539568,1.56586,2.7080995922561577
2020-12-20,1.52073,1.4297,2567,7530.0,,4726,4073.0,3323,22219,3400,1554103,1.52073,3.395046013210441
2020-12-27,1.50659,1.39828,2482,7131.0,,4282,3846.0,3145,20886,3340,1493692,1.50659,3.881117602115917
2021-01-03,1.55413,1.45723,2323,6632.0,,3564,3925.0,3408,19852,3343,1362314,1.55413,3.5127187131442468
2021-01-10,1.5907,1.5383,2585,7729.0,,3934,4520.0,3668,22436,3322,1458493,1.5907,3.2585861166238805
2021-01-17,1.29196,1.26364,2380,6402.0,,4056,3525.0,2831,19194,3332,1518947,1.29196,3.4778148169323835
2021-01-24,1.25191,1.21094,2566,5878.0,,4056,3311.0,2542,18353,3356,1515597,1.25191,3.583730776905917
2021-01-31,1.10337,1.12256,2560,5345.0,,3955,2810.0,2240,16910,3367,1506379,1.10337,3.776234250043864
2021-02-07,1.16554,1.08197,2636,4996.0,,4015,2527.0,1927,16101,3337,1488119,1.16554,3.992222570539626
2021-02-14,1.00745,0.974818,2557,4103.0,,3736,2136.0,1576,14108,3288,1447245,1.00745,3.916305682212668
2021-02-21,0.986987,0.907497,2320,3710.0,,3146,1922.0,1504,12602,3297,1388655,0.986987,3.700659146978537
2021-02-28,0.862967,0.860475,2544,3841.0,,3541,1900.0,1521,13347,3318,1551120,0.862967,3.3258111034234905
2021-03-07,0.82875,0.842691,2773,3536.0,,3544,1813.0,1351,13017,3319,1544694,0.82875,3.344183013852294
2021-03-14,0.883305,0.903419,3220,3785.0,,3811,1906.0,1376,14098,3325,1560517,0.883305,3.0226288961188983
2021-03-21,0.90874,0.939582,3515,3940.0,,3856,1909.0,1360,14580,3268,1551754,0.90874,2.85511958912815
2021-03-28,0.948022,0.960224,3817,4216.0,,3915,2057.0,1354,15359,3242,1599523,0.948022,2.6142122925735056
2021-04-04,0.974936,0.998001,4116,4395.0,,4089,2129.0,1265,15994,3301,1602603,0.974936,2.297116739639725
2021-04-11,1.06411,1.07813,4740,5062.0,,4692,2290.0,1364,18148,3323,1683278,1.06411,2.081217361840719
2021-04-18,1.08168,1.10911,5227,5292.0,,4909,2364.0,1385,19177,3324,1729037,1.08168,1.935522072083245
2021-04-25,1.10339,1.15017,5764,4859.0,,5095,2143.0,1452,19313,3290,1679142,1.10339,1.8171930026871517
2021-05-02,1.13164,1.1826,6335,4818.0,,5517,2045.0,1419,20134,3303,1702520,1.13164,1.6957444552813732
2021-05-09,1.1483,1.20847,6822,4620.0,,5403,1803.0,1289,19937,3272,1649771,1.1483,1.594600655727944
2021-05-16,1.19144,1.25476,7366,4364.0,,5492,1843.0,1308,20373,3255,1623653,1.19144,1.5561045490955532
2021-05-23,1.24686,1.26333,8352,4421.0,,5414,1745.0,1334,21266,3233,1683332,1.24686,1.4783536549374745
2021-05-30,1.14576,1.19113,7953,3990.0,,4967,1596.0,1179,19685,3184,1652632,1.14576,1.4191633554347012
2021-06-06,1.18405,1.25152,8502,3978.0,,4856,1576.0,1240,20152,3182,1610198,1.18405,1.3423837934752
2021-06-13,1.12999,1.14539,8097,3692.0,,4646,1528.0,1225,19188,3148,1675241,1.12999,1.2529536953182272
2021-06-20,1.19103,1.18507,8536,3805.0,,4619,1515.0,1197,19672,3107,1659980,1.19103,1.2132938842682393
2021-06-27,1.21258,1.21019,8514,3815.0,,4611,1652.0,1304,19896,3093,1644041,1.21258,1.193032399843576
2021-07-04,1.2132,1.2128,8369,4006.0,,4757,1678.0,1293,20103,3092,1657572,1.2132,1.134833853390691
2021-07-11,1.26708,1.32915,8719,4860.0,,5310,1978.0,1509,22376,3094,1683488,1.26708,1.0790003023830954
2021-07-18,1.38688,1.44259,9193,6030.0,,5930,2400.0,1710,25263,3103,1751226,1.38688,1.053523124232158
2021-07-25,1.64767,1.70922,10372,7962.0,,7171,2899.0,2150,30554,3102,1787598,1.64767,1.0512019050371282
2021-08-01,1.799,1.90931,11144,9254.0,,8575,3618.0,2630,35221,3088,1844702,1.799,1.0397206537093877
2021-08-08,1.94947,2.05205,11102,10547.0,,8901,4328.0,2884,37762,3085,1840212,1.94947,1.036664714591359
2021-08-15,2.03512,2.15537,11264,11227.0,,10105,4556.0,2917,40069,3079,1859035,2.03512,1.0727243056414637
2021-08-22,2.19023,2.30346,11809,11022.0,,12282,4744.0,2896,42753,3071,1856032,2.19023,1.1855729831049726
2021-08-29,2.23843,2.30735,11982,10384.0,,13529,4341.0,2826,43062,3066,1866295,2.23843,1.3021632334574538
2021-09-05,2.26655,2.2523,11745,9562.0,,13057,3889.0,2625,40878,3067,1814941,2.26655,1.3617233373754665
2021-09-12,2.21303,2.21305,11711,9090.0,,12253,3738.0,2646,39438,3057,1782067,2.21303,1.4179820152266014
2021-09-19,2.04664,2.00533,11254,7783.0,,11583,3296.0,2306,36222,3095,1806283,2.04664,1.4533312009188382
2021-09-26,1.9014,1.93726,10928,6861.0,,11397,2768.0,2065,34019,3076,1756033,1.9014,1.524004378172099
2021-10-03,1.84504,1.84254,10142,5638.0,,10065,2320.0,1837,30002,2919,1628298,1.84504,1.5854431431712444
2021-10-10,2.03811,1.96461,13161,7486.0,,13175,3210.0,2587,39619,3587,2016630,2.03811,1.6669319269726042
2021-10-17,1.94464,1.90023,13066,7083.0,,11954,2944.0,2442,37489,3580,1972863,1.94464,1.7160312207070902
2021-10-24,1.92538,1.86005,12494,6452.0,,11448,2940.0,2350,35684,3538,1918446,1.92538,1.7801428220023194
2021-10-31,1.9789,1.89307,12858,6669.0,,11881,2850.0,2358,36616,3572,1934216,1.9789,1.841539465836076
2021-11-07,2.1334,2.08583,13295,6961.0,,14444,2918.0,2368,39986,3578,1917029,2.1334,1.9285670369470809
2021-11-14,2.25788,2.22432,14559,7836.0,,15933,3190.0,2724,44242,3601,1989010,2.25788,2.026825381473404
2021-11-21,2.41079,2.35599,14735,8519.0,,17350,3635.0,2808,47047,3591,1996913,2.41079,2.256817856984207
2021-11-28,2.51762,2.45722,14913,8173.0,,13394,3715.0,3102,43297,3584,1762035,2.51762,2.3157686117925014
2021-12-05,2.55244,2.56131,15161,11287.0,,17338,4880.0,4005,52671,3608,2056405,2.55244,2.4349691268091123
2021-12-12,2.72476,2.71523,14968,11367.0,,19950,4856.0,3886,55027,3613,2026604,2.72476,2.8202503290221688
2021-12-19,3.14645,3.09817,16285,13614.0,,23449,5230.0,3961,62539,3584,2018579,3.14645,3.507773785059904
2021-12-26,4.00686,4.07763,18514,22550.0,,25049,7767.0,5304,79184,3564,1941911,4.00686,3.9940210154851417
2022-01-02,4.90468,5.07044,24118,38319.0,,28970,13517.0,8997,113921,3532,2246767,4.90468,3.62586242322706
2022-01-09,4.3291,4.28258,17048,31466.0,,24806,12064.0,7939,93323,3561,2179129,4.3291,3.371795764792577
2022-01-16,3.5344,3.41512,12222,21822.0,,20205,8731.0,6178,69158,3568,2025052,3.5344,3.591099476341708
2022-01-23,2.82024,2.68756,9526,15080.0,,13305,6219.0,4555,48685,3573,1811493,2.82024,3.6971470118483927
2022-01-30,2.06558,1.96884,7300,9847.0,,9503,4562.0,3508,34720,3554,1763472,2.06558,3.889354991217513
2022-02-06,1.68092,1.55907,6083,6418.0,,7740,3016.0,2552,25809,3488,1655407,1.68092,4.105261584757734
2022-02-13,1.44022,1.33898,6395,5166.0,,7604,2401.0,2153,23719,3548,1771418,1.44022,4.029877075141077
